protein,S001_baseline,S001_week4,S002_baseline,S002_week4,S003_baseline,S003_week4,S004_baseline,S004_week4,S005_baseline,S005_week4,S006_baseline,S006_week4,S007_baseline,S007_week4,S008_baseline,S008_week4,S009_baseline,S009_week4,S010_baseline,S010_week4,S011_baseline,S011_week4,S012_baseline,S012_week4,S013_baseline,S013_week4,S014_baseline,S014_week4,S015_baseline,S015_week4,S016_baseline,S016_week4,S017_baseline,S017_week4,S018_baseline,S018_week4,S019_baseline,S019_week4,S020_baseline,S020_week4
PROT012,4469495.486401143,6626171.0983103085,6176324.360186289,6640820.1187624065,4665073.5994713055,5044649.240988845,5339009.742598791,7209595.387123624,5302093.323040535,7693227.29810104,5453648.08038686,4836822.312651057,,6093941.403821631,,5947492.285013087,7692056.728001367,6611577.993158339,6490948.724332631,5300411.9278996335,,5990483.0557309305,7078219.481665319,5206182.7872752985,5065712.340997277,7860214.099356793,6831957.636959154,4669293.368644946,4881965.408907921,5311863.41467267,4537812.283768065,7174109.069439619,8531754.409728363,5385038.771463283,5967914.106991627,5928067.731438938,,7842906.631160406,6505372.515216106,4617705.724940913
PROT013,23803510.702392243,26701524.781558454,25816882.117710453,21722267.722667396,27769951.68639359,25011824.88567655,,21093297.52124378,29438185.309607968,22376445.030976832,28637141.257629406,31139058.365199097,27043083.021527417,24022269.16856596,26710748.441687457,31324634.545949925,25391301.33374681,24922643.650863666,28687803.38143298,32621285.24717556,22129823.807152227,29012747.09632456,27744743.797389165,19299928.551121105,25339042.886398494,23371586.65464997,25784751.67865462,,22696115.760901157,20644442.66763085,23411066.38151012,28475631.978260223,27063982.14899294,31526479.138602998,,23832626.54180341,21536074.213887632,22018210.549826086,20156845.755149998,21490432.728197813
PROT014,48246692.33496188,64728338.839091316,76425941.93289056,70630167.57156861,96253862.61755231,79544146.83422752,60698924.92240166,99302240.67989472,80218651.19087511,55531076.87517744,68381116.85446846,77691274.72438401,54417211.81965394,65333863.68350267,69485796.56734866,98568401.25569448,75608369.42910147,85836588.3046452,62131180.27969334,85835032.5217151,52401845.931100875,68125575.2221191,56786368.69434706,73667065.67402202,89395493.11906825,72126885.90682738,69129962.76616427,,65240854.176280804,89771174.03510532,63275850.95906222,66188345.93470686,71856766.58786443,,75228222.11563878,85488981.82415584,57722767.584611624,67277540.71929628,46626580.01932877,87420784.97825482
PROT015,,19007638.042069267,18163367.909687854,17253191.128880985,18977265.549578335,20549403.895701468,16477923.055673778,18359952.84249366,16152538.544487208,18695531.213948425,19029986.65099313,18638431.347508635,18763493.64124939,24905980.435889583,20340667.84260299,17500188.781436175,17670739.198126134,22531671.54097937,15340354.154609226,18522256.25708501,16668149.707620112,22459015.3721322,20730375.05678705,17430741.50393262,15545422.869128447,21260404.729499392,18941638.824524596,22825071.4130821,15040435.428849274,21709307.626975175,18749467.99952129,19403254.232607733,14895110.16125483,24967824.6695691,23251280.571037,20017260.67121281,17723018.692081116,21620372.075851668,14677737.869803715,22364667.11754908
PROT016,23392914.886305816,24043165.76291528,33105081.73883821,29082411.41725709,23860474.7747818,30682641.545130335,17215273.715032976,25269868.31882677,19194358.155030724,22001416.999227755,23595041.73920347,17502917.657786448,16199480.809289372,23542141.189701498,23447978.334167186,31105426.084138677,18484475.69003418,25050676.135364193,21992780.06681971,33032756.51687752,20060622.827444557,24461569.893613137,22007839.43477117,25232027.84842056,23141368.520609006,23527087.199996483,19853921.506166697,27455173.418324243,24592726.053120393,23703778.93284201,22040125.084474046,20233401.40791062,30395173.369161174,27427684.990268536,14944408.622110501,22492528.141697,26061163.920580905,18751825.00547072,17775396.42666041,36643509.2986807
PROT017,22099370.25693173,20540734.61339348,34744046.097796865,30609430.089623213,26212023.20920902,25758897.067863353,,25235116.42425359,,25331510.92714549,21937580.406478446,24860116.526917513,,24525716.932043016,23626691.25267246,29863717.586128194,23641008.507833716,29553384.0920554,18739130.060528398,27124113.31668697,27345708.19674365,30413289.174566112,22688023.15518208,19509097.238759793,18919593.88855226,33752870.20857821,20485079.255218703,28118060.94998883,22779797.138444882,38688473.76039434,32928785.22722947,21610669.246292528,21373688.73917623,19998759.831398573,23459059.332649358,18407844.23228344,25604629.794018604,26208137.500590548,,
PROT018,3819673.038601399,5778856.768442946,7445548.422691157,7154613.9617375005,4768404.400916532,7018369.275414857,5284630.555563668,6044536.542192404,4707414.665479769,6197208.971113843,5924809.922057124,,7253117.217043709,5038294.979166737,6631616.233698292,6001417.33801539,5951441.582971729,6866752.097203324,5228499.95595576,5742650.81074761,4591502.147720854,7313636.317902358,7334851.817835929,4596274.384943825,4910076.083438697,7216009.673376675,4994349.050522806,7177054.39839143,5524140.862962647,6229407.446104912,4367182.326815173,5919159.60678109,5113599.531385943,8305426.077829455,6841258.482603108,4588258.88500114,4531341.432146804,5580316.406937575,6252236.070641395,4508799.478349799
PROT019,,27154310.592336312,28645184.967886124,27128850.81258507,20118458.41303972,28880387.737346724,,35262014.85606122,19474331.098895214,20110906.586504564,19859403.619657002,24400343.19839793,19788001.808819965,23028688.588910878,30710050.151277233,22483648.195616726,23731192.04010719,31558894.042593643,25651851.876999777,29322554.75533765,14557155.387614984,,26323350.292136934,23671608.397664625,31184297.176435813,33806111.12073872,14379665.746737229,20363193.436188694,20413106.509509146,,21199483.081105985,16874638.524519566,20134077.55907422,25396720.813427817,18282720.300242394,28100655.46282851,17579917.55179824,28434083.387507565,18463190.555080626,22885162.854049753
PROT020,15450335.061683003,17748832.838704787,16322002.207732452,10945512.726607433,,16960509.202560637,14860922.714299211,15661361.290769115,11814255.609139616,12202025.746648395,19266051.47911091,17162690.559841223,17002674.768572118,,12278955.30863625,20475612.581379224,11956006.032603938,13973618.429698572,14488109.316365803,11976898.418184616,13397836.44852914,13733946.022839088,16291171.125854662,10997210.31966611,16876030.655901905,13320069.361623,14229294.549920565,13552245.385056652,13997005.165726893,19112314.018925317,15870822.67913254,12450440.943927512,13978875.845343448,19393272.291557584,16061518.511111632,15674037.988036783,17861063.52246114,16400110.405952677,10632928.421549784,9844703.456520522
PROT021,20124087.823385768,17335575.44436192,20942524.30456704,19967383.929974277,16058160.660026649,24574012.161201123,17981405.84916494,17662884.537806816,20044382.297818482,15721898.173310706,19101750.651869945,28869727.819613703,31144142.75589634,22917786.635656137,29136952.29016115,22791519.584614564,17206843.373124845,27340287.465659086,24807445.193712804,21979861.58862326,22355287.319475144,26163694.6884715,21557559.734463446,22358571.735823844,27393593.06975249,22078052.695359025,21808697.466934,24385736.77970114,18409771.709386848,23107770.21789827,23508795.372613236,22069461.024658643,19465065.389921866,20937435.213665653,18916375.765537806,26713041.653289992,16581041.93239315,21793952.20718327,19842889.089884404,16828876.668900825
PROT022,10113102.97665218,11561992.90222321,12357708.734001262,11431925.237472512,10623121.605029447,13272531.60242385,12452936.718413785,11883664.52694012,17425278.41476448,12819495.73729763,10919636.60318942,12490627.576187419,14143970.376390308,10927807.543698534,11201808.35031729,15918655.572870977,13523664.228435248,10614314.908339662,13134967.728205709,14996929.124746177,11312781.881846957,16690712.130935956,13083933.63395497,,11677381.528547727,18144203.464687664,9822889.103830453,12470192.177040141,10813349.605779963,16184913.388840174,16260143.643039547,18212228.066234913,9218684.71596159,17585243.481295414,13203764.553292409,12772893.754273117,9943662.705313526,12695229.952235369,,12587876.08239685
PROT023,15607510.535527594,17870444.605279043,14955502.818898972,,,,13066246.57105776,11945851.789101176,13526142.984433379,11816270.414579585,14934178.67663115,15278177.814455405,11756211.545235181,11743771.31305354,17603934.143279795,11969684.125747021,14439643.737984752,13555936.142695738,13475770.294337736,11609124.588270271,11880189.811075827,14482933.003664384,12019429.124698015,14966631.560427478,13263123.585822234,12515492.079349894,8651742.912388545,9723198.450629234,12652979.739312712,,9783924.667745596,12425011.577232372,14238088.054810705,11645349.490909027,11615406.251585323,11555607.506223386,12050332.773366582,12587160.676737875,14680394.945691047,15750772.294389104
PROT024,9453154.935752003,17624750.694224775,11576001.6266208,11403565.213071292,16996540.48850721,,12399950.39693058,14551002.268788217,,15169190.095919106,12816751.854133978,14027871.940387556,16346139.42812943,16023194.886234928,11952261.284009114,11598497.939525107,11961492.782907305,12153351.215093195,13109392.827545296,14137231.459331078,11432501.972266853,11626605.37406723,17435182.605986055,11702170.654904375,16307288.485164179,21016862.845186073,15345832.75289552,13088847.922424234,13057943.270654075,15403505.654554632,9855160.097869685,17022127.713152066,14021534.757806426,20738610.103535492,10704878.324889218,15852442.056582902,11993609.54693958,13823818.289673738,11129356.710677361,11286290.755553808
PROT025,,19458088.09975793,14680052.061675277,17259062.16201622,13768633.916409556,22213895.2932971,14728843.086792395,22367472.86735089,25753554.652871456,20930624.986943565,18323314.578879114,16514536.011352327,13933545.755496077,17962507.576878678,24061555.187490754,15836487.881751636,19302296.57685467,22323771.290384628,13993090.69803112,21583847.746354852,22856866.317362674,21854841.792858507,17509385.193354495,17358489.527067516,14559981.179798486,27310849.275999323,19159153.760451462,19214834.823848426,17586153.382818546,22647771.352106374,13721702.993568107,23698443.752330817,22027636.468177952,18826891.1832647,19570245.42498887,20864376.257424686,20316947.425519314,,17606613.57447968,17715367.549657576
PROT026,37914840.75459497,27031000.260861125,35452178.23247505,,32138527.979058597,37285420.004433006,31434568.80087889,33565823.740151316,48103778.0321159,38130696.16423137,28685353.83371149,50403105.27373465,39157473.8436708,26231386.87260368,35313773.11674087,43235805.77906183,33062054.48205218,43016012.87552087,31749160.51541469,33492861.794035643,32744697.15645887,53594807.72635714,,42423414.20765082,33511474.12907526,32989950.74100402,34288707.66721355,39586615.07320805,40049340.21653502,44900560.12824563,47363327.866400994,54292018.54604185,30221413.182898723,,22975161.678398114,30400616.884999316,39303818.03527847,44698902.69940808,31227414.629461184,36130708.28429015
PROT027,21217288.41678396,30752502.7228799,,25406331.956718646,25299611.487317484,29633694.643653996,27826053.525718458,,20508934.5745636,23756382.669984546,20946388.181812268,16697289.962539284,27083688.687507465,18975127.284930617,25579604.536148902,21401674.588162266,,21887361.118133876,25591904.473243803,,23657181.28984404,32132366.684856713,21910539.497932658,23141288.18760724,,24462025.66930044,27250632.956333067,27090898.209053073,23839742.35678503,26713629.777591195,22356041.26783588,21098473.111967586,21089118.779419824,,20213094.86007632,32035560.76245878,26605873.245287817,25064281.204009254,20413570.587980594,23419833.218492337
PROT028,24749782.949278746,,22838898.076118033,27997286.932780337,23818345.971641745,30172664.767861255,26885509.523400355,31367901.527827207,35401603.13085478,24804706.358686417,17230502.254081234,24567408.432005964,31842036.509786267,21643011.71135322,24153261.07289587,29443615.258007113,19615642.67916976,21787327.663636714,25543163.704504825,31431063.38685091,37336552.100868404,34320732.60176487,,28782413.581685826,22549528.997382697,31525135.51843531,24413642.66957601,30374380.77400964,26572541.804185834,31343389.95221566,20674972.544599164,28765044.673186764,28149420.857921194,20645487.49307648,32997367.741155036,30539403.56036492,25799418.071530182,24935305.75741438,38050909.669389255,25456455.384359065
PROT029,21012196.93325619,23957191.628075216,,21564042.36788515,21754566.665712893,34210898.601002716,26408610.260222264,22582288.89455789,23367425.531677112,30331911.082711678,,22888697.501877528,,24866434.28817039,,29050484.864892714,24742125.822223663,26521392.76792473,,22523896.017867345,,27345871.66346887,36699532.1481288,26119805.571467713,23104139.800184265,27354578.778157223,31200493.096351087,25777734.6205106,28605455.604934666,21443607.816251103,21259657.790043622,24186766.278355453,22254015.986887842,40704318.73957094,23801656.976878207,25643592.533567972,30147661.83003743,40904862.730290994,,22508535.419987485
PROT030,30983643.496026594,50234824.304107204,39041776.93084126,44391403.6429311,33875871.70987983,53830453.15810097,41593633.07382431,40227338.69599046,47569010.942571245,46833325.987302825,61203285.25258763,51460205.34846016,57610146.641585216,49822350.12402443,51206412.731052265,58231123.20300508,54076669.702370524,49483288.39100964,42339586.78488538,71403127.10111076,,64330593.08877509,51669783.91995084,44227112.26908715,57617864.989140235,69054073.91793026,37714443.3117497,64249240.70280269,56674352.32127201,78480023.4136946,50227397.96136269,66635933.570984334,49376388.79985201,63322611.95446331,55335267.08842491,55553930.26382602,50211833.40408097,50079466.385529,43617040.29462249,53186601.0054344
PROT031,42818287.36902277,33401587.712028272,42676982.951788455,39542352.802712604,,43269480.4162484,50982325.88964519,,31080711.87237335,37943239.842737444,41857275.2936385,40561049.988883615,52423434.77515996,47418617.38252893,53117072.50581203,38619170.85806001,34007509.58607719,46337436.73828776,35058517.236506626,48119341.8448397,56776780.73578173,52379234.222449906,40806531.708205394,,64860529.215480365,59975815.067715384,,51995024.945155516,49531550.16364786,43192268.25482206,52919916.431433015,61790339.66674202,,34772880.983214274,32798654.063874915,48729740.73544912,50589394.933279306,43957807.53800751,63099313.665836,32244874.07538202
PROT032,24614177.29162093,25021153.1320809,20336454.137734298,,25360350.36268891,30248218.717409424,18928504.50175847,19747550.94607643,22424904.863170993,31391846.984101582,21152332.59088486,24480675.00901362,27244563.6843477,24384210.690174747,19971109.25264351,19848758.36535616,21888896.285509195,17847874.228947215,23464854.648920476,24781763.437551316,20943265.196935594,23276988.967581786,20092923.274875052,29601959.421275448,23634021.835310873,24790831.731510036,26957515.459146243,23238725.059072364,18795262.76841877,24743554.979007952,21779792.43890635,25058671.88901077,18717463.43048528,19872223.947907366,26004239.150892567,29781046.116553154,21781001.73224151,18805350.96966431,16278448.275096772,24179679.157473855
PROT033,22856049.703788944,34193531.23945649,31347351.402315684,25166097.049371697,24447596.37593336,39410373.60092582,20922585.932010762,32273697.005128518,33359680.616765473,26256114.141996965,,33989785.25812264,21369645.21981778,20124986.785821173,24659571.851981595,38142563.058228,,28910082.16171892,28884502.360596254,27876484.928888626,21259705.105560496,33415578.89868015,25822430.54129648,32180983.003055073,30077655.010833696,31061577.14697654,28329450.110898167,41828730.34638317,31785896.774354666,26720672.452354647,22363295.96706512,27703772.350691445,28982902.573231485,23422632.501362085,28582802.950406536,38528555.66113704,36509545.41233428,29931331.890824582,,30220285.359937638
PROT034,5104365.565242511,6183487.927049165,5315704.55693785,4752892.132302505,4807874.981907602,6275547.276900538,4506116.526981021,4731864.584090122,5099624.022639769,3979559.961152182,4965435.833028572,6168395.929920469,5673932.982647528,3909891.511037877,5059120.2078494895,6299389.34030402,4253926.833817672,4476899.175513775,5349363.447136359,4206486.384733899,5004600.916745817,5650200.190073379,4257031.685273686,4979387.351445035,4752816.153433141,4913954.537218636,4399438.973246742,5505141.3494929755,5047702.365676298,6621071.082296652,4134301.5723094083,4712876.260269073,4104516.618578375,6793770.013122466,5937620.424232306,4859894.618025557,4622398.903349556,5353025.766526105,4051029.5628527016,4671863.919485344
PROT035,86233390.03684962,74392602.94065274,108024388.83034734,61351593.507210694,63583301.84019547,78433250.3793125,70560447.84421214,89326413.28850578,51473247.33395333,69893436.52520427,75494829.59189081,66633815.550741866,63316613.67833301,84670231.29161663,95914680.09923138,78206830.36165355,69888499.57365392,86274473.86656274,64225393.59983779,63938325.653430596,47924979.826959535,72128517.0452073,85374169.40353048,58956455.23878951,51775502.53984055,76712529.00350663,94380554.39825875,76741680.03232044,65341167.95103992,72392418.41897543,73779743.69505395,73551297.46809079,72859299.58338805,67523070.0766734,86803237.10517354,74776165.61493513,88693486.11189686,70289492.21747242,,73332407.0690127
PROT036,16707232.525285117,22757981.84445658,14367178.700663552,16603691.21782833,15673551.564361634,22628792.133168936,,16951880.257138744,16739178.475682428,21054572.467607655,20721646.256423783,17623173.106982775,16370637.330710657,21527486.860350043,13644178.833132932,22452105.859914128,20330371.063864537,,18676657.026663247,18149228.60712954,13686968.952862963,20222220.785715215,15857991.004050745,18480606.15336797,13416917.873617668,16257664.674745107,17536253.69417586,25760523.3410244,16086980.348489702,20316761.56918094,20742414.59844537,19380843.565763514,18088508.607763495,21374567.14087694,21080863.442512155,16192639.378844121,14817555.042374915,14135206.85415818,14164157.37489249,14927338.72963795
PROT037,30758203.77389752,37950153.376357794,28748385.267545883,32076901.67374845,29433230.481640697,,39660155.86906147,37958481.77680258,23782482.888218984,34037450.48954544,35444267.37554217,34058364.0297843,35863940.83940212,,41591767.96629416,34486574.91546895,30172331.53737388,27504169.113472085,29229084.211540613,39163024.408248484,23626278.462993205,34497586.45936497,30012288.801077962,31065743.25350794,30841609.02410914,53216466.74089852,33808030.68677006,38692830.16588773,31401213.762295347,37696755.53039096,28720652.500200063,33980444.79000965,36810649.26989442,37239706.12241966,30878224.71888688,35821543.38546444,52685856.39670928,34602190.241317526,32894684.514786787,36652728.767628714
PROT038,37395079.77144568,27595407.432660308,31946164.19848192,26837420.661455903,28836809.031706788,28424851.271888576,22063155.126229357,32677569.902796913,23492736.336365517,31855450.076100916,37927450.46231967,27267918.990311004,28688373.714644272,32804181.04026561,32971928.930984434,,42250590.90913047,23913734.385156415,26294607.850360535,34042484.708044335,28512067.14374018,46731371.4745441,31566287.626168072,31106018.845627796,26654492.333880715,27627670.985787243,24771447.667905226,28651791.182293735,24254716.729881454,35727764.064304896,23041578.349479225,29134087.86826251,29026297.01343458,39866071.67244209,34210563.13124973,,30013098.02587323,24072643.57654129,,36166947.803078234
PROT039,24209539.819693428,28339245.64872697,28249728.078785136,,23710493.16210744,,23112975.24617168,35176747.18830255,32060614.026370563,24489892.2295974,23603708.350830432,19188224.169043906,34606671.2039847,28355476.86365078,24124982.49917194,25383353.700720027,19850226.136288486,41324082.7307927,24524692.50600605,26386500.22383528,20033892.93344443,30389229.479194645,29050217.087971363,29235140.339502517,30439979.92918589,33606270.17565453,25122572.28114711,41006861.25377983,25266698.11437054,30800721.84458567,31372035.548283026,24110220.03106167,23199353.436631855,35272424.97173748,37784175.69044428,32674367.565680612,31344860.76871082,32888292.499248028,23306639.89892617,31351371.962264642
PROT040,8549922.505110197,7965223.35591108,7852204.80524942,,11030473.337254908,7747193.92375006,9636504.49914583,,6465247.001223534,9541640.988513775,7314081.718494555,10637996.532841675,11863371.439168816,,8113976.0166616365,8119447.113849028,8901382.85157049,11144501.43098604,8717399.009128856,7113694.880375334,8539178.805488527,8094068.751549489,9348819.355764536,10882514.821200354,7366558.580066184,13189281.176435448,7490701.254131996,9002900.543493258,7619243.999633183,8799289.422550293,8317561.986544561,7874665.5077534355,7450176.738823957,11297420.582968963,7561074.994651591,8803176.881390136,7836446.517099409,12332120.382434841,6816802.34201215,9429943.228819072
PROT041,34156733.137149796,26047382.435571242,,31837281.178456053,26013207.55292318,46400650.60769112,30313891.307414286,34400169.154475346,33207694.175258286,23739901.366937187,36628632.24729497,45263120.79572937,41154180.60876586,26840079.114228986,25201142.594158024,34780919.98046851,28598832.057126094,31656706.83624257,27174263.166339014,38140533.58566654,29878237.03937485,31889713.88376087,47263767.405815035,32225741.64075603,30340133.808276687,38091418.28707665,36506135.72644536,30093271.149527192,,33361871.640231717,25269039.44874105,25934412.034917638,,40188442.5392621,24372262.0388371,25674231.22444753,28138450.138037037,42072401.83020134,28176891.37855213,33492289.607109513
PROT042,6922351.148716669,7147812.114580376,,7473270.512637064,4427991.847461874,7272723.524514394,4964135.589184268,8276850.2210583985,5308732.280428835,8668493.673910627,6298073.116296926,8046099.814132199,8536471.197849113,,9668993.214108378,6782157.614444544,7822369.964187111,5203728.419059128,7194786.827703353,8935582.256736938,7957489.995466315,8621001.268226016,7911794.941514801,9401936.368222058,6563356.650239636,,10027190.03312213,6558135.5003821375,4239701.732183452,,5393277.453447723,6035522.409553966,6319584.751626178,10123085.120037094,5724915.868856437,6410508.434465304,6322512.903885809,5975896.283235588,5911553.744521072,7210766.260557707
PROT043,24524980.414951447,33754073.69832751,28336714.50232319,31969809.34248708,22518828.55945674,34617100.29608565,,31892219.80335544,32263047.827638242,36698704.70706929,,36267609.586459495,39351752.90978704,48688686.9255871,24109414.834412698,26638123.21328681,28332117.54007978,32001786.71335156,34821652.65344728,32531321.282536566,,23146344.611194935,33572304.9283112,36157242.87555229,33738468.678850174,34334408.252236664,25154788.427890234,30861694.366791144,22999593.06149948,27336187.011770498,23872050.71496316,32811428.115287203,33353615.633610237,29396004.977919925,22184278.32206159,43290916.11356313,33111507.415378343,35828346.38626647,27854507.09777988,26868139.813036904
