protein,n,mean_delta,pvalue,padj
PROT029,8,0.23291499104355218,0.16670957526702448,0.35425784744242705
PROT115,7,0.18313781553908015,0.17019831214278353,0.35532630078932
PROT104,9,0.23321223285135773,0.18476109732751392,0.3790788031374855
PROT021,10,0.16285340361584097,0.20166523264563932,0.40674852008188267
PROT094,9,0.17253656192480488,0.21105462890201054,0.4185916806556543
PROT051,8,0.1878196172478348,0.2186635712434322,0.42657319636013824
PROT017,9,0.1749852992735469,0.22858574219461186,0.43290138645137494
PROT102,9,0.18673285421022634,0.22918308694484557,0.43290138645137494
PROT099,8,0.08014187651674964,0.24111584358969604,0.4483247716745911
PROT020,9,0.14096443067639874,0.2652149698342457,0.4782757436978736
PROT108,8,0.14870724459645324,0.2652621771769719,0.4782757436978736
PROT077,9,-0.13263000731045615,0.27118262005723803,0.48165271323598996
PROT023,8,-0.09699147852308654,0.28068142568863647,0.49119249495511386
PROT025,8,0.20970855429760515,0.2913029589895485,0.5023920597066126
PROT074,9,0.04095041445973438,0.2962738606780179,0.5036655631526304
PROT006,10,0.12532892666863304,0.3230649045270271,0.5320293705854386
PROT067,10,0.07789830304031682,0.32667442138479047,0.5320293705854386
PROT075,10,0.1366741959084031,0.3284258638995248,0.5320293705854386
PROT005,9,0.11640142602614428,0.33084179347329795,0.5320293705854386
PROT068,10,0.1609280428339744,0.3442791561802918,0.5457051602932538
PROT010,8,0.1020221793242917,0.34851758136375866,0.5457051602932538
PROT008,8,0.0943856647825263,0.36714495929004437,0.5630896027849468
PROT111,9,0.16702642739231285,0.36908394132122563,0.5630896027849468
PROT053,9,0.08435966131551392,0.38942538676420235,0.5766128228172536
PROT027,7,0.13167264257283,0.3946067358512629,0.5766128228172536
PROT031,7,-0.11509092942479882,0.3967468116471513,0.5766128228172536
PROT072,6,0.17326218388690387,0.39732984429424195,0.5766128228172536
PROT059,10,-0.08096718807200709,0.4075911905987717,0.5843777310994438
PROT048,10,0.09822973098008525,0.4224133143735965,0.5855200128997826
PROT088,9,0.08917382404886788,0.4240967266435254,0.5855200128997826
PROT012,8,0.12788881466180113,0.4255272758462145,0.5855200128997826
PROT003,10,-0.0835844241030788,0.4280692531284125,0.5855200128997826
PROT013,8,0.04554776265047611,0.45161495860438716,0.6107065917491145
PROT063,9,0.09085318035056507,0.47749393187267397,0.6356779039181976
PROT119,9,0.13621694652013142,0.4807648012826704,0.6356779039181976
PROT016,10,0.0870392705461203,0.48971194871888657,0.6403925483246978
PROT065,8,0.08116223458478755,0.4970998370613381,0.6429878327206439
PROT100,8,0.09269112933756052,0.5258363841377764,0.6610265127247957
PROT056,9,0.07782392124319888,0.5261245266707425,0.6610265127247957
PROT110,8,0.059820218808770864,0.5277102412508874,0.6610265127247957
PROT084,10,-0.04956402260707762,0.5418314558185853,0.6716452421084547
PROT037,9,0.06523095774517094,0.6320960557632445,0.7695395491557553
PROT083,8,-0.040788774454422416,0.6337384522459161,0.7695395491557553
PROT113,10,0.04213110424434881,0.6424884630106695,0.772284112103734
PROT066,9,0.06144626835590748,0.6786174274999854,0.7980262879656245
PROT004,10,0.036899653460423565,0.6801118263697897,0.7980262879656245
PROT085,10,0.05395531898023727,0.6840225325419638,0.7980262879656245
PROT055,10,0.05424418953798806,0.6965577050891301,0.8047608437437522
PROT060,9,0.03261631679907061,0.7440440780045365,0.8467521040335519
PROT093,9,-0.023584776606590988,0.7471342094413693,0.8467521040335519
PROT038,8,0.047695447839005034,0.7674635294534762,0.8615864151411666
PROT101,7,0.025711347710054407,0.7908578285121748,0.8795521644200822
PROT057,9,0.03457049868882933,0.7991552708960414,0.8805507151539715
PROT112,9,-0.03204645968268633,0.8181220895411866,0.8931791619761579
PROT001,9,-0.01953113212331164,0.8557717201617661,0.9244771962089531
PROT092,10,0.025575449505464577,0.8623274687327209,0.9244771962089531
PROT070,10,0.010529133171255723,0.8982832056005456,0.9538389783040877
PROT071,8,-0.01741675443186219,0.9057462567089236,0.9538389783040877
PROT049,9,0.01224989598745078,0.9141900066989561,0.9542860596243489
PROT090,9,0.007253278920784349,0.9300973675740413,0.9624485803592253
PROT096,10,0.004733366588072485,0.9519794794548735,0.9765996384062926
PROT046,10,0.00522964914673274,0.9622465022161005,0.9786951603736408
PROT035,10,0.0009993632692719245,0.9921854582032126,0.994496406134155
PROT076,10,0.0008661058656617371,0.994496406134155,0.994496406134155
